failure_id,equipment_id,failure_date,failure_mode,repair_cost_usd,downtime_days,root_cause
18,ISO-PUM-022,2004-02-17,bearing_failure,5000,1.52,wear
45,LOA-PUM-026,2009-09-09,shaft_failure,2000,0.71,operational_error
47,UTI-BOI-029,2010-01-07,corrosion,2000,0.77,operational_error
24,TAN-VAL-003,2012-11-02,actuator_failure,5000,0.64,fatigue
49,TAN-STO-016,2013-02-14,corrosion,2000,0.9,design_issue
6,CRU-FUR-043,2013-03-04,tube_leak,20000,1.36,wear
19,ISO-SEP-048,2014-02-15,level_control_failure,5000,1.47,corrosion
8,ALK-PUM-006,2015-02-16,bearing_failure,20000,2.09,corrosion
29,ALK-HEA-040,2015-03-28,tube_leak,5000,0.51,wear
3,REF-HEA-023,2015-06-15,fouling,20000,2.28,design_issue
21,REF-HEA-032,2016-06-17,tube_leak,5000,1.89,operational_error
51,CRU-HEA-011,2017-05-03,tube_leak,2000,0.78,fatigue
53,CRU-FUR-027,2017-08-01,control_valve_stuck,2000,0.68,operational_error
1,REF-HEA-023,2017-11-27,tube_leak,20000,3.69,corrosion
14,LOA-MET-046,2018-02-03,erosion,20000,3.02,corrosion
34,FLU-REA-005,2018-03-08,catalyst_deactivation,5000,0.64,operational_error
7,VAC-FUR-000,2018-03-15,tube_leak,20000,2.56,wear
28,HYD-REA-012,2018-06-04,catalyst_deactivation,5000,0.74,wear
37,HYD-FUR-015,2019-04-24,burner_failure,5000,1.37,fatigue
25,TAN-STO-037,2019-09-01,corrosion,5000,1.01,fatigue
5,LOA-MET-019,2019-11-30,mechanical_failure,20000,2.25,design_issue
22,VAC-COL-036,2019-12-30,tray_damage,5000,0.89,operational_error
40,FLU-REG-031,2020-01-14,fatigue,5000,1.87,wear
26,FLU-COM-045,2020-02-29,valve_failure,5000,1.59,design_issue
33,REF-REA-001,2020-08-08,shell_corrosion,5000,1.49,operational_error
30,FLU-MAI-010,2020-09-25,fatigue,5000,1.32,corrosion
52,CRU-HEA-017,2020-10-21,fouling,2000,0.92,wear
9,UTI-BOI-009,2020-12-16,erosion,20000,1.85,design_issue
12,FLU-REG-034,2021-02-19,fatigue,20000,1.72,design_issue
43,TAN-PUM-004,2021-03-11,bearing_failure,5000,0.75,fatigue
2,REF-HEA-023,2021-03-21,fouling,20000,1.95,operational_error
32,ISO-PUM-025,2021-05-16,impeller_damage,5000,0.99,corrosion
4,LOA-MET-019,2021-05-26,fatigue,20000,3.58,design_issue
31,ALK-REA-007,2021-08-08,catalyst_deactivation,5000,1.57,corrosion
54,HYD-SEP-039,2022-01-18,level_control_failure,2000,0.6,corrosion
35,ALK-SET-013,2022-02-27,mechanical_failure,5000,1.96,corrosion
13,FLU-REG-034,2022-04-26,erosion,20000,3.96,operational_error
38,CRU-FUR-024,2022-05-10,burner_failure,5000,0.79,fatigue
36,REF-FUR-021,2022-07-20,tube_leak,5000,1.84,wear
27,LOA-LOA-035,2022-07-31,fatigue,5000,1.46,design_issue
50,ALK-PUM-008,2022-08-28,seal_failure,2000,0.63,fatigue
10,UTI-BOI-009,2023-02-13,erosion,20000,1.11,wear
39,ALK-REA-028,2023-03-27,shell_corrosion,5000,1.91,operational_error
15,UTI-AIR-047,2023-05-22,fatigue,20000,2.1,corrosion
55,UTI-BOI-033,2023-07-13,erosion,2000,0.27,wear
11,UTI-AIR-020,2023-09-02,erosion,20000,1.84,wear
23,CRU-FUR-049,2023-09-05,control_valve_stuck,5000,1.29,operational_error
20,CRU-COL-044,2023-12-24,tray_damage,5000,1.54,corrosion
41,HYD-FUR-041,2024-06-24,control_valve_stuck,5000,1.95,fatigue
44,LOA-MET-042,2024-08-11,erosion,5000,1.9,operational_error
48,LOA-PUM-038,2024-09-15,impeller_damage,2000,0.52,operational_error
16,CRU-FUR-002,2024-11-10,tube_leak,20000,2.9,fatigue
42,FLU-REA-014,2025-01-08,catalyst_deactivation,5000,0.94,fatigue
17,ISO-SEP-018,2025-03-12,level_control_failure,20000,1.12,operational_error
46,REF-HEA-030,2025-04-19,tube_leak,2000,0.36,wear
