scope_item_id,equipment_id,work_type,description,cost_estimate_usd,duration_days,is_regulatory,priority_score
WO-0001,ALK-PUM-006,replacement,Replace pump due to end-of-life condition,121020,1.3,False,25.09
WO-0002,REF-HEA-032,replacement,Replace heat exchanger due to end-of-life condition,345233,3.2,False,22.07
WO-0003,UTI-BOI-009,inspection,Boiler internal inspection per API standards,69268,2.3,False,20.08
WO-0004,CRU-COL-044,repair,Repair column - address identified deficiencies,170386,4.5,False,19.9
WO-0005,VAC-COL-036,repair,Repair column - address identified deficiencies,431636,5.0,False,19.29
WO-0006,ISO-PUM-022,repair,Repair pump - address identified deficiencies,107084,1.7,False,18.55
WO-0007,FLU-COM-045,repair,Repair compressor - address identified deficiencies,82586,1.2,False,18.31
WO-0008,LOA-MET-019,upgrade,Upgrade meter controls and instrumentation,356967,2.1,False,18.29
WO-0009,VAC-FUR-000,repair,Repair furnace - address identified deficiencies,551465,5.8,False,17.51
WO-0010,ALK-HEA-040,repair,Repair heat exchanger - address identified deficiencies,206604,2.8,False,17.34
WO-0011,ISO-SEP-048,inspection,Separator internal inspection per API standards,71463,1.9,False,16.9
WO-0012,FLU-MAI-010,inspection,Main Column internal inspection per API standards,63649,2.9,False,16.78
WO-0013,ISO-PUM-025,inspection,Pump internal inspection per API standards,24652,1.0,False,16.69
WO-0014,LOA-PUM-026,inspection,Pump internal inspection per API standards,37633,0.6,False,16.42
WO-0015,LOA-LOA-035,repair,Repair loading arm - address identified deficiencies,63872,1.3,False,16.1
WO-0016,HYD-REA-012,upgrade,Upgrade reactor controls and instrumentation,107288,2.3,False,15.85
WO-0017,TAN-STO-037,inspection,Storage Tank internal inspection per API standards,74640,1.1,True,15.76
WO-0018,LOA-MET-046,upgrade,Upgrade meter controls and instrumentation,227590,4.5,False,15.34
WO-0019,UTI-AIR-047,upgrade,Upgrade air compressor controls and instrumentation,109308,4.4,False,15.21
WO-0020,CRU-FUR-049,inspection,Furnace internal inspection per API standards,99729,2.2,False,15.18
WO-0021,ISO-SEP-018,repair,Repair separator - address identified deficiencies,189347,2.9,False,15.16
WO-0022,REF-HEA-023,upgrade,Upgrade heat exchanger controls and instrumentation,450988,4.2,True,15.15
WO-0023,CRU-FUR-024,inspection,Furnace internal inspection per API standards,136243,2.6,True,15.12
WO-0024,LOA-MET-042,repair,Repair meter - address identified deficiencies,85487,3.3,False,14.99
WO-0025,FLU-REG-031,inspection,Regenerator internal inspection per API standards,84546,3.0,False,14.95
WO-0026,FLU-REA-014,repair,Repair reactor - address identified deficiencies,132523,2.1,True,14.45
WO-0027,CRU-FUR-043,upgrade,Upgrade furnace controls and instrumentation,410565,3.0,False,14.44
WO-0028,ALK-SET-013,inspection,Settler internal inspection per API standards,94460,2.7,False,14.2
WO-0029,REF-HEA-030,repair,Repair heat exchanger - address identified deficiencies,174378,3.5,False,14.03
WO-0030,TAN-PUM-004,upgrade,Upgrade pump controls and instrumentation,401817,2.3,False,13.68
