equipment_id,system,equipment_type,criticality,install_date,last_inspection_date,condition_score,design_life_years,current_age_years
REF-HEA-023,reformer,heat_exchanger,2,2006-01-08,2023-02-28,7,25,20
LOA-MET-019,loading_rack,meter,2,2011-01-07,2024-02-29,7,25,15
CRU-FUR-043,crude_unit,furnace,2,2013-01-06,2025-08-06,8,25,13
VAC-FUR-000,vacuum_unit,furnace,2,2015-01-06,2024-05-20,6,25,11
ALK-PUM-006,alkylation,pump,2,2015-01-06,2025-01-20,3,25,11
UTI-BOI-009,utilities,boiler,2,2015-01-06,2023-10-21,6,25,11
UTI-AIR-020,utilities,air_compressor,2,2015-01-06,2023-05-10,10,25,11
FLU-REG-034,fluid_catalytic_cracker,regenerator,2,2015-01-06,2025-08-08,9,25,11
LOA-MET-046,loading_rack,meter,2,2016-01-06,2023-04-11,7,25,10
UTI-AIR-047,utilities,air_compressor,2,2017-01-05,2024-11-10,7,25,9
CRU-FUR-002,crude_unit,furnace,2,2019-01-05,2025-05-27,9,25,7
ISO-SEP-018,isomerization,separator,2,2020-01-05,2025-07-22,8,25,6
ISO-PUM-022,isomerization,pump,3,2003-01-09,2023-09-09,5,25,23
ISO-SEP-048,isomerization,separator,3,2005-01-08,2023-07-21,6,25,21
CRU-COL-044,crude_unit,column,3,2006-01-08,2025-07-12,5,25,20
REF-HEA-032,reformer,heat_exchanger,3,2007-01-08,2025-12-03,3,25,19
VAC-COL-036,vacuum_unit,column,3,2007-01-08,2025-03-17,4,25,19
CRU-FUR-049,crude_unit,furnace,3,2007-01-08,2025-08-02,7,25,19
TAN-VAL-003,tank_farm,valve,3,2010-01-07,2025-10-11,8,25,16
TAN-STO-037,tank_farm,storage_tank,3,2010-01-07,2024-06-10,6,25,16
FLU-COM-045,fluid_catalytic_cracker,compressor,3,2010-01-07,2024-09-22,4,25,16
LOA-LOA-035,loading_rack,loading_arm,3,2011-01-07,2025-06-12,5,25,15
HYD-REA-012,hydrotreater,reactor,3,2012-01-07,2023-10-18,7,25,14
ALK-HEA-040,alkylation,heat_exchanger,3,2013-01-06,2023-01-10,6,25,13
FLU-MAI-010,fluid_catalytic_cracker,main_column,3,2014-01-06,2024-11-06,6,25,12
ALK-REA-007,alkylation,reactor,3,2016-01-06,2025-05-29,9,25,10
ISO-PUM-025,isomerization,pump,3,2016-01-06,2025-07-27,5,25,10
REF-REA-001,reformer,reactor,3,2017-01-05,2025-06-09,8,25,9
FLU-REA-005,fluid_catalytic_cracker,reactor,3,2017-01-05,2025-01-12,7,25,9
ALK-SET-013,alkylation,settler,3,2017-01-05,2023-11-07,7,25,9
REF-FUR-021,reformer,furnace,3,2017-01-05,2024-06-14,9,25,9
HYD-FUR-015,hydrotreater,furnace,3,2018-01-05,2023-05-03,9,25,8
CRU-FUR-024,crude_unit,furnace,3,2018-01-05,2025-01-25,6,25,8
ALK-REA-028,alkylation,reactor,3,2018-01-05,2024-04-12,9,25,8
FLU-REG-031,fluid_catalytic_cracker,regenerator,3,2018-01-05,2025-01-25,7,25,8
HYD-FUR-041,hydrotreater,furnace,3,2018-01-05,2025-07-26,8,25,8
FLU-REA-014,fluid_catalytic_cracker,reactor,3,2019-01-05,2024-12-19,7,25,7
TAN-PUM-004,tank_farm,pump,3,2020-01-05,2024-09-09,7,25,6
LOA-MET-042,loading_rack,meter,3,2020-01-05,2024-08-20,6,25,6
LOA-PUM-026,loading_rack,pump,4,2008-01-08,2024-07-08,4,25,18
REF-HEA-030,reformer,heat_exchanger,4,2009-01-07,2025-05-01,6,25,17
UTI-BOI-029,utilities,boiler,4,2010-01-07,2024-06-13,8,25,16
LOA-PUM-038,loading_rack,pump,4,2010-01-07,2024-09-27,9,25,16
TAN-STO-016,tank_farm,storage_tank,4,2011-01-07,2024-02-09,5,25,15
ALK-PUM-008,alkylation,pump,4,2012-01-07,2024-06-11,6,25,14
CRU-HEA-011,crude_unit,heat_exchanger,4,2013-01-06,2024-04-21,8,25,13
CRU-HEA-017,crude_unit,heat_exchanger,4,2013-01-06,2025-09-30,7,25,13
CRU-FUR-027,crude_unit,furnace,4,2013-01-06,2024-06-06,6,25,13
HYD-SEP-039,hydrotreater,separator,4,2013-01-06,2023-09-09,7,25,13
UTI-BOI-033,utilities,boiler,4,2019-01-05,2025-04-19,10,25,7
