rank,scope_item_id,equipment_id,work_type,description,cost_estimate_usd,duration_days,is_regulatory,failure_probability,consequence_usd,downtime_days,expected_loss_avoided,risk_tier,confidence,data_sources
1,WO-0008,LOA-MET-019,upgrade,Upgrade meter controls and instrumentation,356967,2.1,0,0.254,3663750,2.92,930592,medium,medium,mtbf_2_events|historical_avg_2_events
2,WO-0022,REF-HEA-023,upgrade,Upgrade heat exchanger controls and instrumentation,450988,4.2,1,0.164,3320000,2.64,544480,medium,medium,mtbf_3_events|historical_avg_3_events
3,WO-0003,UTI-BOI-009,inspection,Boiler internal inspection per API standards,69268,2.3,0,0.226,1870000,1.48,422620,medium,medium,mtbf_2_events|historical_avg_2_events
4,WO-0001,ALK-PUM-006,replacement,Replace pump due to end-of-life condition,121020,1.3,0,0.085,2632500,2.09,223762,medium,medium,mtbf_1_events|historical_avg_1_events
5,WO-0018,LOA-MET-046,upgrade,Upgrade meter controls and instrumentation,227590,4.5,0,0.046,3795000,3.02,174570,medium,medium,mtbf_1_events|historical_avg_1_events
6,WO-0009,VAC-FUR-000,repair,Repair furnace - address identified deficiencies,551465,5.8,0,0.053,3220000,2.56,170660,medium,medium,mtbf_1_events|historical_avg_1_events
7,WO-0019,UTI-AIR-047,upgrade,Upgrade air compressor controls and instrumentation,109308,4.4,0,0.05,2645000,2.1,132250,medium,low,mtbf_1_events|historical_avg_1_events
8,WO-0024,LOA-MET-042,repair,Repair meter - address identified deficiencies,85487,3.3,0,0.086,955000,1.9,82130,low,low,mtbf_1_events|historical_avg_1_events
9,WO-0021,ISO-SEP-018,repair,Repair separator - address identified deficiencies,189347,2.9,0,0.052,1420000,1.12,73840,low,low,mtbf_1_events|historical_avg_1_events
10,WO-0002,REF-HEA-032,replacement,Replace heat exchanger due to end-of-life condition,345233,3.2,0,0.057,950000,1.89,54150,low,medium,mtbf_1_events|historical_avg_1_events
11,WO-0025,FLU-REG-031,inspection,Regenerator internal inspection per API standards,84546,3.0,0,0.055,940000,1.87,51700,low,medium,mtbf_1_events|historical_avg_1_events
12,WO-0028,ALK-SET-013,inspection,Settler internal inspection per API standards,94460,2.7,0,0.05,985000,1.96,49250,low,medium,mtbf_1_events|historical_avg_1_events
13,WO-0027,CRU-FUR-043,upgrade,Upgrade furnace controls and instrumentation,410565,3.0,0,0.028,1720000,1.36,48160,low,medium,mtbf_1_events|historical_avg_1_events
14,WO-0007,FLU-COM-045,repair,Repair compressor - address identified deficiencies,82586,1.2,0,0.056,800000,1.59,44800,low,medium,mtbf_1_events|historical_avg_1_events
15,WO-0015,LOA-LOA-035,repair,Repair loading arm - address identified deficiencies,63872,1.3,0,0.05,735000,1.46,36750,low,medium,mtbf_1_events|historical_avg_1_events
16,WO-0013,ISO-PUM-025,inspection,Pump internal inspection per API standards,24652,1.0,0,0.069,500000,0.99,34500,low,medium,mtbf_1_events|historical_avg_1_events
17,WO-0012,FLU-MAI-010,inspection,Main Column internal inspection per API standards,63649,2.9,0,0.05,665000,1.32,33250,low,medium,mtbf_1_events|historical_avg_1_events
18,WO-0004,CRU-COL-044,repair,Repair column - address identified deficiencies,170386,4.5,0,0.041,775000,1.54,31775,low,low,mtbf_1_events|historical_avg_1_events
19,WO-0026,FLU-REA-014,repair,Repair reactor - address identified deficiencies,132523,2.1,1,0.061,475000,0.94,28975,low,low,mtbf_1_events|historical_avg_1_events
20,WO-0006,ISO-PUM-022,repair,Repair pump - address identified deficiencies,107084,1.7,0,0.037,765000,1.52,28305,low,medium,mtbf_1_events|historical_avg_1_events
21,WO-0023,CRU-FUR-024,inspection,Furnace internal inspection per API standards,136243,2.6,1,0.068,400000,0.79,27200,low,medium,mtbf_1_events|historical_avg_1_events
22,WO-0030,TAN-PUM-004,upgrade,Upgrade pump controls and instrumentation,401817,2.3,0,0.069,380000,0.75,26220,low,medium,mtbf_1_events|historical_avg_1_events
23,WO-0011,ISO-SEP-048,inspection,Separator internal inspection per API standards,71463,1.9,0,0.033,740000,1.47,24420,low,medium,mtbf_1_events|historical_avg_1_events
24,WO-0005,VAC-COL-036,repair,Repair column - address identified deficiencies,431636,5.0,0,0.05,450000,0.89,22500,low,medium,mtbf_1_events|historical_avg_1_events
25,WO-0017,TAN-STO-037,inspection,Storage Tank internal inspection per API standards,74640,1.1,1,0.04,510000,1.01,20400,low,medium,mtbf_1_events|historical_avg_1_events
26,WO-0020,CRU-FUR-049,inspection,Furnace internal inspection per API standards,99729,2.2,0,0.028,650000,1.29,18200,low,low,mtbf_1_events|historical_avg_1_events
27,WO-0016,HYD-REA-012,upgrade,Upgrade reactor controls and instrumentation,107288,2.3,0,0.035,375000,0.74,13125,low,medium,mtbf_1_events|historical_avg_1_events
28,WO-0010,ALK-HEA-040,repair,Repair heat exchanger - address identified deficiencies,206604,2.8,0,0.047,260000,0.51,12220,low,medium,mtbf_1_events|historical_avg_1_events
29,WO-0014,LOA-PUM-026,inspection,Pump internal inspection per API standards,37633,0.6,0,0.051,179500,0.71,9154,low,medium,mtbf_1_events|historical_avg_1_events
30,WO-0029,REF-HEA-030,repair,Repair heat exchanger - address identified deficiencies,174378,3.5,0,0.038,92000,0.36,3496,low,low,mtbf_1_events|historical_avg_1_events
