rank,scope_item_id,equipment_id,work_type,description,cost_estimate_usd,duration_days,is_regulatory,failure_probability,consequence_usd,downtime_days,expected_loss_avoided,risk_tier,confidence,data_sources,marginal_roi_per_1k,marginal_roi_per_day,included
3,WO-0003,UTI-BOI-009,inspection,Boiler internal inspection per API standards,69268,2.3,0,0.226,1870000,1.48,422620,medium,medium,mtbf_2_events|historical_avg_2_events,6101.230005197205,183747.82608695654,True
1,WO-0008,LOA-MET-019,upgrade,Upgrade meter controls and instrumentation,356967,2.1,0,0.254,3663750,2.92,930592,medium,medium,mtbf_2_events|historical_avg_2_events,2606.941257875378,443139.0476190476,True
4,WO-0001,ALK-PUM-006,replacement,Replace pump due to end-of-life condition,121020,1.3,0,0.085,2632500,2.09,223762,medium,medium,mtbf_1_events|historical_avg_1_events,1848.9671128739053,172124.61538461538,True
16,WO-0013,ISO-PUM-025,inspection,Pump internal inspection per API standards,24652,1.0,0,0.069,500000,0.99,34500,low,medium,mtbf_1_events|historical_avg_1_events,1399.4807723511276,34500.0,True
7,WO-0019,UTI-AIR-047,upgrade,Upgrade air compressor controls and instrumentation,109308,4.4,0,0.05,2645000,2.1,132250,medium,low,mtbf_1_events|historical_avg_1_events,1209.8839975116184,30056.81818181818,True
2,WO-0022,REF-HEA-023,upgrade,Upgrade heat exchanger controls and instrumentation,450988,4.2,1,0.164,3320000,2.64,544480,medium,medium,mtbf_3_events|historical_avg_3_events,1207.3048506833884,129638.09523809524,True
8,WO-0024,LOA-MET-042,repair,Repair meter - address identified deficiencies,85487,3.3,0,0.086,955000,1.9,82130,low,low,mtbf_1_events|historical_avg_1_events,960.7308713605578,24887.878787878788,True
5,WO-0018,LOA-MET-046,upgrade,Upgrade meter controls and instrumentation,227590,4.5,0,0.046,3795000,3.02,174570,medium,medium,mtbf_1_events|historical_avg_1_events,767.0372160463992,38793.333333333336,True
11,WO-0025,FLU-REG-031,inspection,Regenerator internal inspection per API standards,84546,3.0,0,0.055,940000,1.87,51700,low,medium,mtbf_1_events|historical_avg_1_events,611.5014311735623,17233.333333333332,True
15,WO-0015,LOA-LOA-035,repair,Repair loading arm - address identified deficiencies,63872,1.3,0,0.05,735000,1.46,36750,low,medium,mtbf_1_events|historical_avg_1_events,575.3694889779559,28269.23076923077,True
14,WO-0007,FLU-COM-045,repair,Repair compressor - address identified deficiencies,82586,1.2,0,0.056,800000,1.59,44800,low,medium,mtbf_1_events|historical_avg_1_events,542.4648245465334,37333.333333333336,True
17,WO-0012,FLU-MAI-010,inspection,Main Column internal inspection per API standards,63649,2.9,0,0.05,665000,1.32,33250,low,medium,mtbf_1_events|historical_avg_1_events,522.396267026976,11465.517241379312,True
12,WO-0028,ALK-SET-013,inspection,Settler internal inspection per API standards,94460,2.7,0,0.05,985000,1.96,49250,low,medium,mtbf_1_events|historical_avg_1_events,521.3847131060767,18240.74074074074,True
